Def	$F_x$		$F_y$		$F_z$		$TotalF$
0	0			0			0			0
0.1	0.00025		0.001037	0.003586	0.003749
0.2	0.00048		0.002148	0.007544	0.007876
0.3	0.00069		0.003333	0.011874	0.012381
0.4	0.00088		0.004592	0.016576	0.017264
0.5	0.00105		0.005925	0.02165		0.022525
0.6	0.0012		0.007332	0.027096	0.028164
0.7	0.00133		0.008813	0.032914	0.034181
0.8	0.00144		0.010368	0.039104	0.040576
0.9	0.00153		0.011997	0.045666	0.047349
1	0.0016		0.0137		0.0526		0.0545
1.1	0.00165		0.015477	0.059906	0.062029
1.2	0.00168		0.017328	0.067584	0.069936
1.3	0.00169		0.019253	0.075634	0.078221
1.4	0.00168		0.021252	0.084056	0.086884
1.5	0.00165		0.023325	0.09285		0.095925
1.6	0.0016		0.025472	0.102016	0.105344
1.7	0.00153		0.027693	0.111554	0.115141
1.8	0.00144		0.029988	0.121464	0.125316
1.9	0.00133		0.032357	0.131746	0.135869
2	0.0012		0.0348		0.1424		0.1468
2.1	0.00105		0.037317	0.153426	0.158109
2.2	0.00088		0.039908	0.164824	0.169796
2.3	0.00069		0.042573	0.176594	0.181861
2.4	0.00048		0.045312	0.188736	0.194304
2.5	0.00025		0.048125	0.20125		0.207125
2.6	0			0.051012	0.214136	0.220324
2.7	-0.00027	0.053973	0.227394	0.233901
2.8	-0.00056	0.057008	0.241024	0.247856
2.9	-0.00087	0.060117	0.255026	0.262189
3	-0.0012		0.0633		0.2694		0.2769
3.1	-0.00155	0.066557	0.284146	0.291989
3.2	-0.00192	0.069888	0.299264	0.307456
3.3	-0.00231	0.073293	0.314754	0.323301
3.4	-0.00272	0.076772	0.330616	0.339524
3.5	-0.00315	0.080325	0.34685		0.356125
3.6	-0.0036		0.083952	0.363456	0.373104
3.7	-0.00407	0.087653	0.380434	0.390461
3.8	-0.00456	0.091428	0.397784	0.408196
3.9	-0.00507	0.095277	0.415506	0.426309
4	-0.0056		0.0992		0.4336		0.4448
