Def	$Force$
0	0
0.1	0.0057
0.2	0.01168
0.3	0.01794
0.4	0.02448
0.5	0.0313
0.6	0.0384
0.7	0.04578
0.8	0.05344
0.9	0.06138
1	0.0696
1.1	0.0781
1.2	0.08688
1.3	0.09594
1.4	0.10528
1.5	0.1149
1.6	0.1248
1.7	0.13498
1.8	0.14544
1.9	0.15618
2	0.1672
2.1	0.1785
2.2	0.19008
2.3	0.20194
2.4	0.21408
2.5	0.2265
2.6	0.2392
2.7	0.25218
2.8	0.26544
2.9	0.27898
3	0.2928
3.1	0.3069
3.2	0.32128
3.3	0.33594
3.4	0.35088
3.5	0.3661
3.6	0.3816
3.7	0.39738
3.8	0.41344
