Def 	$Force$
0		0
0.06607	0.0012 
0.2836	0.0090 
0.48606	0.0211 
0.69117	0.0359 
0.89812	0.0534 
1.118	0.0740 
1.3165	0.0944 
1.5121	0.1164 
1.7138	0.1400 
1.9114	0.1645 
2.1102	0.1901 
2.3119	0.2170 
2.5129	0.2433 
2.7135	0.2715 
2.9178	0.3008 
3.1211	0.3297 
3.3271	0.3584 
3.5319	0.3877 
3.7358	0.4172 
3.9418	0.4462 
