# Response Point
# Name,P1 - Initial Shear Modulus Mu (Pa),P2 - Incompressibility Parameter D1 (MPa^-1),P3 - Directional Deformation Minimum (mm),P5 - Force Reaction Minimum Z Axis (N),P8 - Directional Deformation Minimum (mm),P9 - Force Reaction Minimum Z Axis (N)
Name,P1,P2,P3,P5,P8,P9
Response Point,20060.5,84.5,-3.9680765879128574,-0.42182163011171303,-1.9686648843961807,-0.14044148356445241

# Response Chart for P3 - Directional Deformation Minimum
# P1 - Initial Shear Modulus Mu (Pa),P2 - Incompressibility Parameter D1 (MPa^-1),P3 - Directional Deformation Minimum (mm)
P1,P2,P3
3356,1,-3.9413686499180551
4748.041666666667,1,-3.9433518452081833
6140.0833333333339,1,-3.9451312480108705
7532.125,1,-3.9467089677371
8924.1666666666679,1,-3.9480874306413658
10316.208333333334,1,-3.9492693863440191
11708.25,1,-3.9502579042644315
13100.291666666668,1,-3.9510563648096348
14492.333333333334,1,-3.9516684533960489
15884.375,1,-3.952098167936644
17276.416666666668,1,-3.9523498509952892
18668.458333333336,1,-3.9524282554720913
20060.5,1,-3.9523386477233138
21452.541666666668,1,-3.9520867966427153
22844.583333333336,1,-3.9516782489187943
24236.625,1,-3.9511182139403664
25628.666666666668,1,-3.9504118134679937
27020.708333333336,1,-3.949564238251253
28412.75,1,-3.9485808564995883
29804.791666666668,1,-3.9474672836583267
31196.833333333336,1,-3.9462294211574269
32588.875,1,-3.9448734704422272
33980.916666666672,1,-3.9434059274534845
35372.958333333336,1,-3.9418335617486426
36765,1,-3.940163383642882
3356,7.958333333333333,-3.9408250151846826
4748.041666666667,7.958333333333333,-3.9429758372358741
6140.0833333333339,7.958333333333333,-3.9449219968812739
7532.125,7.958333333333333,-3.9466653508663359
8924.1666666666679,7.958333333333333,-3.948208098175034
10316.208333333334,7.958333333333333,-3.9495527979351541
11708.25,7.958333333333333,-3.9507023739764597
13100.291666666668,7.958333333333333,-3.9516601079123084
14492.333333333334,7.958333333333333,-3.9524296259171234
15884.375,7.958333333333333,-3.9530148882039486
17276.416666666668,7.958333333333333,-3.9534201933776791
18668.458333333336,7.958333333333333,-3.9536502107207312
20060.5,7.958333333333333,-3.9537100508585103
21452.541666666668,7.958333333333333,-3.953605288057783
22844.583333333336,7.958333333333333,-3.9533413995364137
24236.625,7.958333333333333,-3.9529234874192229
25628.666666666668,7.958333333333333,-3.9523564921412668
27020.708333333336,7.958333333333333,-3.951645372043338
28412.75,7.958333333333333,-3.9507952335161667
29804.791666666668,7.958333333333333,-3.9498114197165131
31196.833333333336,7.958333333333333,-3.9486995648742784
32588.875,7.958333333333333,-3.9474656204773453
33980.916666666672,7.958333333333333,-3.9461158588533531
35372.958333333336,7.958333333333333,-3.9446568588464985
36765,7.958333333333333,-3.9430954774833928
3356,14.916666666666666,-3.9404249535162021
4748.041666666667,14.916666666666666,-3.9427352404484504
6140.0833333333339,14.916666666666666,-3.9448401234865877
7532.125,14.916666666666666,-3.9467411891266195
8924.1666666666679,14.916666666666666,-3.9484403855048
10316.208333333334,14.916666666666666,-3.949940053709768
11708.25,14.916666666666666,-3.951242944532444
13100.291666666668,14.916666666666666,-3.9523522196641157
14492.333333333334,14.916666666666666,-3.953271438862215
15884.375,14.916666666666666,-3.9540045385587
17276.416666666668,14.916666666666666,-3.954555812312909
18668.458333333336,14.916666666666666,-3.9549299079209979
20060.5,14.916666666666666,-3.9551318576117467
21452.541666666668,14.916666666666666,-3.9551671173033944
22844.583333333336,14.916666666666666,-3.9550411461733086
24236.625,14.916666666666666,-3.9547589713402789
25628.666666666668,14.916666666666666,-3.9543253662478661
27020.708333333336,14.916666666666666,-3.9537450541488397
28412.75,14.916666666666666,-3.9530228633082531
29804.791666666668,14.916666666666666,-3.9521638389348959
31196.833333333336,14.916666666666666,-3.9511733170620356
32588.875,14.916666666666666,-3.9500569660573626
33980.916666666672,14.916666666666666,-3.9488208014951405
35372.958333333336,14.916666666666666,-3.9474711797115623
36765,14.916666666666666,-3.9460147746665557
3356,21.875,-3.9401523797314266
4748.041666666667,21.875,-3.9426137332117817
6140.0833333333339,21.875,-3.9448690334478544
7532.125,21.875,-3.9469195785859932
8924.1666666666679,21.875,-3.9487670408834634
10316.208333333334,21.875,-3.9504135128176947
11708.25,21.875,-3.9518615396117678
13100.291666666668,21.875,-3.953114134958708
14492.333333333334,21.875,-3.9541747777464011
15884.375,21.875,-3.9550473902649417
17276.416666666668,21.875,-3.9557363032875865
18668.458333333336,21.875,-3.956246220298842
20060.5,21.875,-3.9565822000942621
21452.541666666668,21.875,-3.95674969255525
22844.583333333336,21.875,-3.9567542264506139
24236.625,21.875,-3.9566008159879416
25628.666666666668,21.875,-3.9562941009146266
27020.708333333336,21.875,-3.955838573625436
28412.75,21.875,-3.9552387646739446
29804.791666666668,21.875,-3.954499385589342
31196.833333333336,21.875,-3.9536254298290374
32588.875,21.875,-3.9526222355073526
33980.916666666672,21.875,-3.9514955154634777
35372.958333333336,21.875,-3.9502513608551615
36765,21.875,-3.9488962241066252
3356,28.833333333333332,-3.9399919056019659
4748.041666666667,28.833333333333332,-3.942595739423528
6140.0833333333339,28.833333333333332,-3.9449929315985717
7532.125,28.833333333333332,-3.9471844722377978
8924.1666666666679,28.833333333333332,-3.9491717292413679
10316.208333333334,28.833333333333332,-3.9509565094857764
11708.25,28.833333333333332,-3.9525411095713694
13100.291666666668,28.833333333333332,-3.9539283519572872
14492.333333333334,28.833333333333332,-3.9551216016416251
15884.375,28.833333333333332,-3.9561247587607249
