# Response Point
# Name,P1 - Initial Shear Modulus Mu (Pa),P2 - Incompressibility Parameter D1 (MPa^-1),P3 - Directional Deformation Minimum (mm),P5 - Force Reaction Minimum Z Axis (N),P8 - Directional Deformation Minimum (mm),P9 - Force Reaction Minimum Z Axis (N)
Name,P1,P2,P3,P5,P8,P9
Response Point,20060.5,84.5,-3.9680765879128574,-0.42182163011171303,-1.9686648843961807,-0.14044148356445241

# Response Chart for P5 - Force Reaction Minimum Z Axis
# P1 - Initial Shear Modulus Mu (Pa),P2 - Incompressibility Parameter D1 (MPa^-1),P5 - Force Reaction Minimum Z Axis (N)
P1,P2,P5
3356,1,-0.08748158428483227
4748.041666666667,1,-0.11896495638632257
6140.0833333333339,1,-0.15127971030498219
7532.125,1,-0.18447287154993902
8924.1666666666679,1,-0.21859434546757278
10316.208333333334,1,-0.25369644095698546
11708.25,1,-0.28983273780182883
13100.291666666668,1,-0.32705563434217355
14492.333333333334,1,-0.36541106423147834
15884.375,1,-0.40492646514081709
17276.416666666668,1,-0.44557959382973067
18668.458333333336,1,-0.48719190924871353
20060.5,1,-0.528492478077022
21452.541666666668,1,-0.56728604364280288
22844.583333333336,1,-0.60625923111244318
24236.625,1,-0.64561227951566735
25628.666666666668,1,-0.68514190720917389
27020.708333333336,1,-0.72453742499158813
28412.75,1,-0.76343241146231955
29804.791666666668,1,-0.80142136969265532
31196.833333333336,1,-0.83806657732592127
32588.875,1,-0.87290126560142556
33980.916666666672,1,-0.90543114292734206
35372.958333333336,1,-0.93513505134244923
36765,1,-0.9614650961625042
3356,7.958333333333333,-0.088897631653703707
4748.041666666667,7.958333333333333,-0.11954876438710853
6140.0833333333339,7.958333333333333,-0.15099902536925336
7532.125,7.958333333333333,-0.18329315918208144
8924.1666666666679,7.958333333333333,-0.21647867655878911
10316.208333333334,7.958333333333333,-0.25060546473700968
11708.25,7.958333333333333,-0.28572484738773063
13100.291666666668,7.958333333333333,-0.3218875573267192
14492.333333333334,7.958333333333333,-0.35913943404015447
15884.375,7.958333333333333,-0.39751189085203215
17276.416666666668,7.958333333333333,-0.43699837070923991
18668.458333333336,7.958333333333333,-0.4774814782750777
20060.5,7.958333333333333,-0.51831344025049819
21452.541666666668,7.958333333333333,-0.55652558495984927
22844.583333333336,7.958333333333333,-0.5943446464532578
24236.625,7.958333333333333,-0.63238479112734847
25628.666666666668,7.958333333333333,-0.6704831946188905
27020.708333333336,7.958333333333333,-0.70834159967216659
28412.75,7.958333333333333,-0.74559870601628409
29804.791666666668,7.958333333333333,-0.78185134181347615
31196.833333333336,7.958333333333333,-0.81666275719492887
32588.875,7.958333333333333,-0.84956636498010318
33980.916666666672,7.958333333333333,-0.88006750298070213
35372.958333333336,7.958333333333333,-0.90764418647891842
36765,7.958333333333333,-0.931747257419023
3356,14.916666666666666,-0.08989674890577519
4748.041666666667,14.916666666666666,-0.11976103624586538
6140.0833333333339,14.916666666666666,-0.15039390435993308
7532.125,14.916666666666666,-0.18183791173751132
8924.1666666666679,14.916666666666666,-0.21413825788492941
10316.208333333334,14.916666666666666,-0.24734246210161409
11708.25,14.916666666666666,-0.28149957826054767
13100.291666666668,14.916666666666666,-0.31665850927995776
14492.333333333334,14.916666666666666,-0.35286448270509219
15884.375,14.916666666666666,-0.39015144211575187
17276.416666666668,14.916666666666666,-0.428524061384945
18668.458333333336,14.916666666666666,-0.46790653605313359
20060.5,14.916666666666666,-0.50791620246015168
21452.541666666668,14.916666666666666,-0.54596834283808193
22844.583333333336,14.916666666666666,-0.58274151365636029
24236.625,14.916666666666666,-0.61955400152302065
25628.666666666668,14.916666666666666,-0.6563043893623165
27020.708333333336,14.916666666666666,-0.69271085063998661
28412.75,14.916666666666666,-0.72841849531038
29804.791666666668,14.916666666666666,-0.76302700546595192
31196.833333333336,14.916666666666666,-0.79610084788573965
32588.875,14.916666666666666,-0.82717373078165712
33980.916666666672,14.916666666666666,-0.85575066341327455
35372.958333333336,14.916666666666666,-0.88130882758537821
36765,14.916666666666666,-0.90329775297956338
3356,21.875,-0.090535482999060723
4748.041666666667,21.875,-0.1196575868029244
6140.0833333333339,21.875,-0.14951940066102798
7532.125,21.875,-0.18016139178690704
8924.1666666666679,21.875,-0.21162653379813082
10316.208333333334,21.875,-0.24396003793872995
11708.25,21.875,-0.27720869008604065
13100.291666666668,21.875,-0.31141943656121718
14492.333333333334,21.875,-0.34663647179853835
15884.375,21.875,-0.38289510640649332
17276.416666666668,21.875,-0.42020784383606924
18668.458333333336,21.875,-0.45852747569752345
20060.5,21.875,-0.49761028245755995
21452.541666666668,21.875,-0.53561995216346781
22844.583333333336,21.875,-0.57147995331522472
24236.625,21.875,-0.60715271562183681
25628.666666666668,21.875,-0.64263850447826276
27020.708333333336,21.875,-0.677677755539587
28412.75,21.875,-0.71192368267850847
29804.791666666668,21.875,-0.74497947841751133
31196.833333333336,21.875,-0.77641111985252442
32588.875,21.875,-0.80575274623369031
33980.916666666672,21.875,-0.83250909041517174
35372.958333333336,21.875,-0.85615649791907222
36765,21.875,-0.87614313658562293
3356,28.833333333333332,-0.0908664107463783
4748.041666666667,28.833333333333332,-0.11929027244639952
6140.0833333333339,28.833333333333332,-0.14842662411448834
7532.125,28.833333333333332,-0.17831393731884709
8924.1666666666679,28.833333333333332,-0.20899304813206618
10316.208333333334,28.833333333333332,-0.24050692703914311
11708.25,28.833333333333332,-0.27290011039984191
13100.291666666668,28.833333333333332,-0.30621749878850646
14492.333333333334,28.833333333333332,-0.34050192210347924
15884.375,28.833333333333332,-0.37578913683828369
