Def		$Force$
4.052	0.39655
4.05	0.39617
4		0.38680
3.9		0.36839
3.8		0.35044
3.7		0.33293
3.6		0.31586
3.5		0.29925
3.4		0.28308
3.3		0.26737
3.2		0.25210
3.1		0.23727
3		0.22290
2.9		0.20897
2.8		0.19550
2.7		0.18247
2.6		0.16988
2.5		0.15775
2.4		0.14606
2.3		0.13483
2.2		0.12404
2.1		0.11369
2		0.10380
1.9		0.09435
1.8		0.08536
1.7		0.07681
1.6		0.06870
1.5		0.06105
1.4		0.05384
1.3		0.04709
1.2		0.04078
1.1		0.03491
1		0.02950
0.9		0.02453
0.8		0.02002
0.7		0.01595
0.6		0.01232
0.5		0.00915
0.4		0.00642
0.3		0.00415
0.2		0.00232
0.1		0.00093
0		0.00000
