Def		$Force$
4.05	0.40838
4		0.39800
3.9		0.37764
3.8		0.35781
3.7		0.33851
3.6		0.31975
3.5		0.30153
3.4		0.28383
3.3		0.26667
3.2		0.25005
3.1		0.23396
3		0.21840
2.9		0.20338
2.8		0.18889
2.7		0.17493
2.6		0.16151
2.5		0.14863
2.4		0.13627
2.3		0.12445
2.2		0.11317
2.1		0.10242
2		0.09220
1.9		0.08252
1.8		0.07337
1.7		0.06475
1.6		0.05667
1.5		0.04913
1.4		0.04211
1.3		0.03563
1.2		0.02969
1.1		0.02428
1		0.01940
0.9		0.01506
0.8		0.01125
0.7		0.00797
0.6		0.00523
0.5		0.00303
0.4		0.00135
0.3		0.00021
0.2		-0.00039
0.1		-0.00046
0		0.00000
