Def		$Force$
4.082	0.41579
4.05	0.40943
4		0.39960
3.9		0.38029
3.8		0.36146
3.7		0.34310
3.6		0.32522
3.5		0.30783
3.4		0.29090
3.3		0.27446
3.2		0.25850
3.1		0.24301
3		0.22800
2.9		0.21347
2.8		0.19942
2.7		0.18584
2.6		0.17274
2.5		0.16013
2.4		0.14798
2.3		0.13632
2.2		0.12514
2.1		0.11443
2		0.10420
1.9		0.09445
1.8		0.08518
1.7		0.07638
1.6		0.06806
1.5		0.06023
1.4		0.05286
1.3		0.04598
1.2		0.03958
1.1		0.03365
1		0.02820
0.9		0.02323
0.8		0.01874
0.7		0.01472
0.6		0.01118
0.5		0.00813
0.4		0.00554
0.3		0.00344
0.2		0.00182
0.1		0.00067
0		0.00000
