Def		$Force$
0		0.00000
0.1		0.00324
0.2		0.00684
0.3		0.01078
0.4		0.01506
0.5		0.01970
0.6		0.02468
0.7		0.03002
0.8		0.03570
0.9		0.04172
1		0.04810
1.1		0.05482
1.2		0.06190
1.3		0.06932
1.4		0.07708
1.5		0.08520
1.6		0.09366
1.7		0.10248
1.8		0.11164
1.9		0.12114
2		0.13100
2.1		0.14120
2.2		0.15176
2.3		0.16266
2.4		0.17390
2.5		0.18550
2.6		0.19744
2.7		0.20974
2.8		0.22238
2.9		0.23536
3		0.24870
3.1		0.26238
3.2		0.27642
3.3		0.29080
3.4		0.30552
3.5		0.32060
3.6		0.33602
3.7		0.35180
3.8		0.36792
3.9		0.38438
4		0.40120
4.05	0.40974
4.052	0.41008
