Def		$Force$
4.05	0.41357
4		0.40360
3.9		0.38403
3.8		0.36495
3.7		0.34636
3.6		0.32825
3.5		0.31063
3.4		0.29349
3.3		0.27684
3.2		0.26067
3.1		0.24499
3		0.22980
2.9		0.21509
2.8		0.20087
2.7		0.18714
2.6		0.17389
2.5		0.16113
2.4		0.14885
2.3		0.13706
2.2		0.12575
2.1		0.11493
2		0.10460
1.9		0.09475
1.8		0.08539
1.7		0.07652
1.6		0.06813
1.5		0.06023
1.4		0.05281
1.3		0.04588
1.2		0.03943
1.1		0.03347
1		0.02800
0.9		0.02301
0.8		0.01851
0.7		0.01450
0.6		0.01097
0.5		0.00793
0.4		0.00537
0.3		0.00330
0.2		0.00171
0.1		0.00061
0		0.00000
