Def		$Force$
4.05	0.40273
4		0.39320
3.9		0.37448
3.8		0.35621
3.7		0.33840
3.6		0.32105
3.5		0.30415
3.4		0.28771
3.3		0.27172
3.2		0.25619
3.1		0.24112
3		0.22650
2.9		0.21234
2.8		0.19863
2.7		0.18538
2.6		0.17259
2.5		0.16025
2.4		0.14837
2.3		0.13694
2.2		0.12597
2.1		0.11546
2		0.10540
1.9		0.09580
1.8		0.08665
1.7		0.07796
1.6		0.06973
1.5		0.06195
1.4		0.05463
1.3		0.04776
1.2		0.04135
1.1		0.03540
1		0.02990
0.9		0.02486
0.8		0.02027
0.7		0.01614
0.6		0.01247
0.5		0.00925
0.4		0.00649
0.3		0.00418
0.2		0.00233
0.1		0.00094
0		0.00000
