Def		$Force$
0		0.00000
0.1		0.00373
0.2		0.00782
0.3		0.01227
0.4		0.01708
0.5		0.02225
0.6		0.02778
0.7		0.03367
0.8		0.03992
0.9		0.04653
1		0.05350
1.1		0.06083
1.2		0.06852
1.3		0.07657
1.4		0.08498
1.5		0.09375
1.6		0.10288
1.7		0.11237
1.8		0.12222
1.9		0.13243
2		0.14300
2.1		0.15393
2.2		0.16522
2.3		0.17687
2.4		0.18888
2.5		0.20125
2.6		0.21398
2.7		0.22707
2.8		0.24052
2.9		0.25433
3		0.26850
3.1		0.28303
3.2		0.29792
3.3		0.31317
3.4		0.32878
3.5		0.34475
3.6		0.36108
3.7		0.37777
3.8		0.39482
3.9		0.41223
4		0.43000
4.05	0.43902
