Def		$Force$
0		0.00000
0.1		0.00319
0.2		0.00673
0.3		0.01061
0.4		0.01483
0.5		0.01940
0.6		0.02431
0.7		0.02957
0.8		0.03517
0.9		0.04111
1		0.04740
1.1		0.05403
1.2		0.06101
1.3		0.06833
1.4		0.07599
1.5		0.08400
1.6		0.09235
1.7		0.10105
1.8		0.11009
1.9		0.11947
2		0.12920
2.1		0.13927
2.2		0.14969
2.3		0.16045
2.4		0.17155
2.5		0.18300
2.6		0.19479
2.7		0.20693
2.8		0.21941
2.9		0.23223
3		0.24540
3.1		0.25891
3.2		0.27277
3.3		0.28697
3.4		0.30151
3.5		0.31640
3.6		0.33163
3.7		0.34721
3.8		0.36313
3.9		0.37939
4		0.39600
4.05	0.40443
4.054	0.40511
