Def		$Force$
0		0.00000
0.1		0.00409
0.2		0.00852
0.3		0.01330
0.4		0.01842
0.5		0.02388
0.6		0.02968
0.7		0.03582
0.8		0.04230
0.9		0.04913
1		0.05630
1.1		0.06381
1.2		0.07166
1.3		0.07986
1.4		0.08840
1.5		0.09728
1.6		0.10650
1.7		0.11606
1.8		0.12596
1.9		0.13621
2		0.14680
2.1		0.15773
2.2		0.16900
2.3		0.18062
2.4		0.19258
2.5		0.20488
2.6		0.21752
2.7		0.23050
2.8		0.24382
2.9		0.25749
3		0.27150
3.1		0.28585
3.2		0.30054
3.3		0.31558
3.4		0.33096
3.5		0.34668
3.6		0.36274
3.7		0.37914
3.8		0.39588
3.9		0.41297
4		0.43040
4.05	0.43924
4.1075	0.44952
