Def		$Force$
0		0.00000
0.1		0.00350
0.2		0.00735
0.3		0.01154
0.4		0.01607
0.5		0.02095
0.6		0.02617
0.7		0.03174
0.8		0.03765
0.9		0.04390
1		0.05050
1.1		0.05744
1.2		0.06473
1.3		0.07236
1.4		0.08033
1.5		0.08865
1.6		0.09731
1.7		0.10632
1.8		0.11567
1.9		0.12536
2		0.13540
2.1		0.14578
2.2		0.15651
2.3		0.16758
2.4		0.17899
2.5		0.19075
2.6		0.20285
2.7		0.21530
2.8		0.22809
2.9		0.24122
3		0.25470
3.1		0.26852
3.2		0.28269
3.3		0.29720
3.4		0.31205
3.5		0.32725
3.6		0.34279
3.7		0.35868
3.8		0.37491
3.9		0.39148
4		0.40840
4.05	0.41699
4.064	0.41941
