Def 	$Force$
0		0
0.0695	0.00119
0.1741	0.00424
0.2724	0.00834
0.3707	0.01323
0.4702	0.01891
0.5705	0.02506
0.6702	0.03191
0.7710	0.03919
0.8714	0.04675
0.9721	0.0548
1.0729	0.0632
1.1729	0.0722
1.2718	0.0813
1.3706	0.0907
1.4727	0.1004
1.5702	0.1103
1.6719	0.12055
1.7703	0.13091
1.8706	0.14149
1.9685	0.15242

