Def   $Force$
0		0
0.1		0.004429
0.2		0.009256
0.3		0.014481
0.4		0.020104
0.5		0.026125
0.6		0.032544
0.7		0.039361
0.8		0.046576
0.9		0.054189
1		0.0622
1.1		0.070609
1.2		0.079416
1.3		0.088621
1.4		0.098224
1.5		0.108225
1.6		0.118624
1.7		0.129421
1.8		0.140616
1.9		0.152209
2		0.1642
2.1		0.176589
2.2		0.189376
2.3		0.202561
2.4		0.216144
2.5		0.230125
2.6		0.244504
2.7		0.259281
2.8		0.274456
2.9		0.290029
3		0.306
3.1		0.322369
3.2		0.339136
3.3		0.356301
3.4		0.373864
3.5		0.391825
3.6		0.410184
3.7		0.428941
3.8		0.448096
3.9		0.467649
4		0.48760
