Def	$Force$
0	0
0.2	0.01354
0.4	0.02854
0.6	0.04498
0.8	0.06286
1	0.08220
1.2	0.10298
1.4	0.12522
1.6	0.14890
1.8	0.17402
2	0.20060
2.2	0.22862
2.4	0.25810
2.6	0.28902
2.8	0.32138
3	0.35520
3.2	0.39046
3.4	0.42718
3.6	0.46534
3.8	0.50494
4	0.54600
